            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8824,  114088907697,   56986106517,         15365,    1926492833,     175660029,           507,    2308770539,     448595297,           676,    2126096239,     433530555,           728
8825,  114127740179,   57005509527,         13386,    1926964729,     175701075,           517,    2309325082,     448703202,           630,    2126603422,     433635181,           743
8826,  114166579044,   57024915727,         14077,    1927441925,     175741980,           526,    2309879688,     448811123,           624,    2127110634,     433739795,           748
8827,  114205429190,   57044327566,         14906,    1927905799,     175783094,           525,    2310434445,     448919095,           669,    2127617848,     433844404,           775
8828,  114244281811,   57063740641,         13741,    1928371575,     175824385,           488,    2310989681,     449027185,           623,    2128125215,     433949051,           725
8829,  114283145721,   57083159359,         13390,    1928835070,     175865704,           498,    2311544533,     449135156,           621,    2128632639,     434053715,           763
8830,  114322022134,   57102584327,         13214,    1929297267,     175906630,           500,    2312099527,     449243164,           620,    2129140217,     434158427,           733
8831,  114360900436,   57122010238,         13232,    1929748965,     175948128,           520,    2312654433,     449351140,           652,    2129647693,     434263110,           752
8832,  114399794227,   57141443892,         14046,    1930217766,     175989192,           496,    2313209789,     449459235,           594,    2130155458,     434367868,           737
8833,  114438698363,   57160882717,         14066,    1930693082,     176030147,           732,    2313764845,     449567248,           663,    2130663294,     434472641,           792
8834,  114477603088,   57180321835,         15189,    1931163638,     176071105,           649,    2314320048,     449675303,           635,    2131171212,     434577418,           773
8835,  114516509964,   57199762027,         14145,    1931627494,     176112216,           554,    2314875410,     449783375,           630,    2131679227,     434682215,           766
8836,  114555429471,   57219208533,         14158,    1932077235,     176153606,           532,    2315430967,     449891504,           685,    2132187289,     434787043,           758
8837,  114594353385,   57238657241,         14260,    1932537819,     176194948,           526,    2315986630,     449999666,           627,    2132695464,     434891912,           747
8838,  114633286864,   57258110730,         14981,    1933012343,     176236163,           525,    2316542340,     450107843,           633,    2133203577,     434996752,           753
8839,  114672230822,   57277569457,         14243,    1933482464,     176277379,           634,    2317098053,     450215990,           638,    2133711752,     435101608,           743
8840,  114711189805,   57297035695,         19317,    1933946590,     176318880,           618,    2317653677,     450324127,           701,    2134220144,     435206518,           755
8841,  114750150777,   57316502926,         13837,    1934420385,     176359960,           519,    2318209713,     450432372,           629,    2134728590,     435311448,           751
8842,  114789114074,   57335971318,         13582,    1934895974,     176401051,           500,    2318765732,     450540592,           602,    2135237018,     435416362,           720
8843,  114828079902,   57355440974,         13839,    1935360514,     176442501,           527,    2319322005,     450648881,           682,    2135745514,     435521272,           981
8844,  114867051475,   57374913501,         17216,    1935812519,     176484005,           535,    2319878347,     450757171,           687,    2136254044,     435626197,           804
8845,  114906027335,   57394388170,         14081,    1936290233,     176525306,           528,    2320434196,     450865351,           630,    2136762645,     435731118,           763
8846,  114945015486,   57413868983,         14048,    1936767747,     176566418,           526,    2320990030,     450973492,           635,    2137271209,     435836035,           746
8847,  114984016756,   57433356354,         14466,    1937224799,     176607672,           521,    2321546230,     451081742,           634,    2137779925,     435940994,           756
