"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.289101542E0,-3.065625000E-1,9.799671478E0,-1.420545959E-1,9.805494437E0
2.299131542E0,-3.046165466E-1,9.809850311E0,-8.711883545E-2,9.814965311E0
2.309161542E0,-3.002755737E-1,9.817783813E0,-6.227050781E-2,9.822572069E0
2.319191542E0,-2.868035889E-1,9.825268250E0,-1.038839722E-1,9.830002256E0
2.329221542E0,-3.266207886E-1,9.799521790E0,-1.191522217E-1,9.805687416E0
2.339251542E0,-3.061134338E-1,9.791438599E0,-1.919009399E-1,9.798101920E0
2.349281542E0,-3.031196594E-1,9.781858521E0,-2.564167786E-1,9.789912523E0
2.359311542E0,-3.026705933E-1,9.786498871E0,-2.456391907E-1,9.794258943E0
2.369341542E0,-3.174897766E-1,9.826765137E0,-1.817221069E-1,9.833571871E0
2.379371542E0,-3.212319946E-1,9.812694397E0,-1.362167358E-1,9.818895881E0
2.389401542E0,-3.278182983E-1,9.782157898E0,-8.681945801E-2,9.788034307E0
2.399431542E0,-3.216810608E-1,9.791438599E0,-5.718109131E-2,9.796888190E0
2.409461542E0,-3.155438232E-1,9.800868988E0,-1.023870850E-1,9.806481731E0
2.419491542E0,-3.230282593E-1,9.805659027E0,-1.522334290E-1,9.812159356E0
2.429521542E0,-3.308120728E-1,9.787846069E0,-1.793270874E-1,9.795076595E0
2.439551542E0,-3.275189209E-1,9.810299377E0,-1.963916016E-1,9.817729482E0
2.449582542E0,-3.260220337E-1,9.809850311E0,-1.878593445E-1,9.817063952E0
2.459612542E0,-3.203338623E-1,9.809251556E0,-1.315763855E-1,9.815362562E0
2.469642542E0,-3.107537842E-1,9.802665253E0,-8.262817383E-2,9.807937672E0
2.479672542E0,-3.091072083E-1,9.793534241E0,-6.301895142E-2,9.798613758E0
2.489702542E0,-3.140469360E-1,9.790091400E0,-1.200503540E-1,9.795862759E0
2.499732542E0,-3.061134338E-1,9.799821167E0,-1.526824951E-1,9.805789733E0
2.509762542E0,-2.992277527E-1,9.802814941E0,-1.830693054E-1,9.809089274E0
2.519792542E0,-3.034190369E-1,9.810898132E0,-1.631607056E-1,9.816944876E0
2.529822542E0,-3.040177917E-1,9.799821167E0,-1.538800049E-1,9.805743255E0
2.539852542E0,-2.939886475E-1,9.789043579E0,-1.666035461E-1,9.794874183E0
2.549882542E0,-3.071612549E-1,9.797126770E0,-1.742376709E-1,9.803489162E0
2.559912542E0,-3.153941345E-1,9.808503113E0,-1.713935852E-1,9.815069156E0
2.569942542E0,-3.174897766E-1,9.811197510E0,-1.314266968E-1,9.817212910E0
2.579972542E0,-3.213816833E-1,9.814640350E0,-9.220825195E-2,9.820333689E0
2.590002542E0,-3.224295044E-1,9.795779572E0,-1.025367737E-1,9.801620886E0
2.600032542E0,-3.152444458E-1,9.783205719E0,-1.228944397E-1,9.789054921E0
2.610062542E0,-3.197351074E-1,9.796677704E0,-1.511856079E-1,9.803059811E0
2.620092542E0,-3.162922668E-1,9.799072723E0,-1.520837402E-1,9.805355501E0
2.630122542E0,-3.206332397E-1,9.805659027E0,-1.348695374E-1,9.811826763E0
2.640152542E0,-3.330574036E-1,9.808503113E0,-1.420545959E-1,9.815184158E0
2.650182542E0,-3.237767029E-1,9.814191284E0,-1.562750244E-1,9.820774094E0
2.660212542E0,-3.212319946E-1,9.810449066E0,-1.513352966E-1,9.816873395E0
2.670242542E0,-3.080593872E-1,9.791438599E0,-1.435514832E-1,9.797335222E0
2.680272542E0,-3.179388428E-1,9.796528015E0,-1.522334290E-1,9.802868013E0
2.690302542E0,-3.137475586E-1,9.790091400E0,-1.532812500E-1,9.796316772E0
2.700332542E0,-3.058140564E-1,9.803563385E0,-1.541793823E-1,9.809543749E0
2.710362542E0,-3.179388428E-1,9.799372101E0,-1.637594604E-1,9.805895973E0
2.720392542E0,-3.118016052E-1,9.808503113E0,-1.486408997E-1,9.814583418E0
2.730422542E0,-3.097059631E-1,9.808353424E0,-1.282832336E-1,9.814080256E0
2.740452542E0,-3.097059631E-1,9.803563385E0,-1.221459961E-1,9.809214672E0
2.750482542E0,-3.101550293E-1,9.807155914E0,-1.338217163E-1,9.812971595E0
2.760513542E0,-3.047662354E-1,9.801018677E0,-1.315763855E-1,9.806638665E0
2.770543542E0,-3.121009827E-1,9.791737976E0,-1.348695374E-1,9.797638971E0
2.780573542E0,-3.224295044E-1,9.793534241E0,-1.541793823E-1,9.800053316E0
2.790603542E0,-3.149450684E-1,9.814490662E0,-1.519340515E-1,9.820717963E0
2.800633542E0,-3.185375977E-1,9.806856537E0,-1.434017944E-1,9.813076246E0
2.810663542E0,-3.201841736E-1,9.802216187E0,-1.272354126E-1,9.808269415E0
2.820693542E0,-3.132984924E-1,9.808952179E0,-1.077758789E-1,9.814546064E0
2.830723542E0,-3.116519165E-1,9.808802490E0,-1.312770081E-1,9.814630246E0
2.840753542E0,-3.141966248E-1,9.799521790E0,-1.730401611E-1,9.806084321E0
2.850783542E0,-3.067121887E-1,9.795031128E0,-1.675016785E-1,9.801263387E0
2.860813542E0,-3.098556519E-1,9.805359650E0,-1.625619507E-1,9.811601030E0
2.870843542E0,-3.121009827E-1,9.796078949E0,-1.504371643E-1,9.802203892E0
2.880873542E0,-3.112028503E-1,9.797276459E0,-1.246907043E-1,9.803010813E0
2.890903542E0,-3.185375977E-1,9.799821167E0,-1.145118713E-1,9.805665407E0
2.900933542E0,-3.233276367E-1,9.802066498E0,-1.131646729E-1,9.808050501E0
2.910963542E0,-3.186872864E-1,9.804162140E0,-1.239422607E-1,9.810123268E0
2.920993542E0,-3.192860413E-1,9.805958405E0,-1.484912109E-1,9.812278708E0
2.931023542E0,-3.143463135E-1,9.801467743E0,-1.613644409E-1,9.807834726E0
2.941053542E0,-3.153941345E-1,9.801767120E0,-1.570234680E-1,9.808097089E0
2.951083542E0,-3.071612549E-1,9.797126770E0,-1.645079041E-1,9.803321061E0
2.961113542E0,-3.121009827E-1,9.805659027E0,-1.749861145E-1,9.812185084E0
2.971143542E0,-3.155438232E-1,9.804311829E0,-1.568737793E-1,9.810642574E0
2.981173542E0,-3.103047180E-1,9.798174591E0,-1.357676697E-1,9.804027091E0
2.991203542E0,-3.047662354E-1,9.804311829E0,-1.200503540E-1,9.809782107E0
3.001233542E0,-3.122506714E-1,9.804910583E0,-1.344204712E-1,9.810802255E0
3.011263542E0,-3.131488037E-1,9.795629883E0,-1.381626892E-1,9.801607822E0
3.021293542E0,-3.194357300E-1,9.807604980E0,-1.489402771E-1,9.813935900E0
3.031323542E0,-3.201841736E-1,9.805359650E0,-1.594184875E-1,9.811881064E0
3.041353542E0,-3.094065857E-1,9.806557159E0,-1.592687988E-1,9.812729605E0
3.051383542E0,-3.206332397E-1,9.800270233E0,-1.384620667E-1,9.806491425E0
3.061414542E0,-3.110531616E-1,9.799970856E0,-1.273851013E-1,9.805733517E0
