"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.564749042E0,9.325607300E-2,8.981323242E-2,9.842632141E0,9.843483661E0
2.574719042E0,9.325607300E-2,8.232879639E-2,9.837393036E0,9.838179530E0
2.584688042E0,9.400451660E-2,7.634124756E-2,9.841284943E0,9.842029982E0
2.594656042E0,7.738906860E-2,7.439529419E-2,9.832004242E0,9.832590256E0
2.604625042E0,7.708969116E-2,7.095245361E-2,9.830058289E0,9.830616615E0
2.614594042E0,7.334747314E-2,7.409591675E-2,9.825867004E0,9.826420124E0
2.624562042E0,7.948471069E-2,7.155120850E-2,9.831255798E0,9.831837466E0
2.634530042E0,8.801696777E-2,7.155120850E-2,9.833201752E0,9.833855971E0
2.644499042E0,8.592132568E-2,7.274871826E-2,9.829010468E0,9.829655214E0
2.654468042E0,8.412506104E-2,8.367599487E-2,9.838440857E0,9.839156325E0
2.664436042E0,9.505233765E-2,8.307723999E-2,9.841584320E0,9.842393952E0
2.674405042E0,8.861572266E-2,8.083190918E-2,9.828711090E0,9.829442926E0
2.684374042E0,9.400451660E-2,9.684860229E-2,9.848470001E0,9.849394797E0
2.694343042E0,8.726852417E-2,8.038284302E-2,9.850865021E0,9.851579511E0
2.704314042E0,8.472381592E-2,8.232879639E-2,9.830207977E0,9.830917812E0
2.714284042E0,7.259902954E-2,8.322692871E-2,9.832752686E0,9.833372906E0
2.724253042E0,7.469467163E-2,7.155120850E-2,9.840087433E0,9.840631055E0
2.734223042E0,6.661148071E-2,7.694000244E-2,9.830806732E0,9.831333473E0
2.744192042E0,7.858657837E-2,7.229965210E-2,9.837093658E0,9.837673238E0
2.754161042E0,8.577163696E-2,7.723937988E-2,9.833800507E0,9.834477876E0
2.764130042E0,8.008346558E-2,7.559280396E-2,9.836345215E0,9.836961666E0
2.774101042E0,7.918533325E-2,7.259902954E-2,9.844727783E0,9.845313914E0
2.784070042E0,7.514373779E-2,7.170089722E-2,9.839488678E0,9.840036842E0
2.794040042E0,9.235794067E-2,7.933502197E-2,9.838889923E0,9.839643233E0
2.804009042E0,9.295669556E-2,7.200027466E-2,9.837393036E0,9.838095686E0
2.813979042E0,8.711883545E-2,7.783813477E-2,9.826914825E0,9.827609244E0
2.823948042E0,8.397537231E-2,8.247848511E-2,9.841883698E0,9.842587530E0
2.833918042E0,8.592132568E-2,7.379653931E-2,9.837692413E0,9.838344394E0
2.843887042E0,8.322692871E-2,8.113128662E-2,9.835147705E0,9.835834453E0
2.853857042E0,7.664062500E-2,7.349716187E-2,9.835147705E0,9.835720919E0
2.863826042E0,7.589218140E-2,6.930587769E-2,9.835147705E0,9.835684689E0
2.873796042E0,7.439529419E-2,7.349716187E-2,9.821825409E0,9.822382138E0
2.883765042E0,7.753875732E-2,7.649093628E-2,9.829908600E0,9.830512001E0
2.893735042E0,7.529342651E-2,7.738906860E-2,9.831704865E0,9.832297733E0
2.903703042E0,7.798782349E-2,7.604187012E-2,9.829309845E0,9.829913351E0
2.913672042E0,7.903564453E-2,7.379653931E-2,9.828411713E0,9.829006529E0
2.923641042E0,8.427474976E-2,7.304809570E-2,9.834998016E0,9.835630343E0
2.933610042E0,9.026229858E-2,7.155120850E-2,9.835147705E0,9.835822144E0
2.943578042E0,9.056167603E-2,7.424560547E-2,9.825268250E0,9.825966110E0
2.953547042E0,9.520202637E-2,7.080276489E-2,9.841584320E0,9.842299446E0
2.963516042E0,8.996292114E-2,8.158035278E-2,9.840386810E0,9.841136177E0
2.973485042E0,7.843688965E-2,7.738906860E-2,9.839189301E0,9.839806274E0
2.983455042E0,7.798782349E-2,7.768844604E-2,9.836644592E0,9.837260515E0
2.993424042E0,8.397537231E-2,7.783813477E-2,9.839338989E0,9.840005202E0
3.003394042E0,7.589218140E-2,8.008346558E-2,9.831854553E0,9.832473592E0
3.013363042E0,7.439529419E-2,8.487350464E-2,9.838590546E0,9.839237882E0
3.023333042E0,7.394622803E-2,7.259902954E-2,9.833201752E0,9.833747778E0
3.033302042E0,7.978408813E-2,6.795867920E-2,9.837393036E0,9.837951292E0
3.043271042E0,7.963439941E-2,7.379653931E-2,9.832004242E0,9.832603672E0
3.053240042E0,8.622070312E-2,7.319778442E-2,9.841584320E0,9.842234190E0
3.063209042E0,8.622070312E-2,7.873626709E-2,9.841135254E0,9.841827904E0
3.073178042E0,7.948471069E-2,7.110214233E-2,9.840237122E0,9.840815004E0
3.083147042E0,8.921447754E-2,7.723937988E-2,9.836943970E0,9.837651743E0
3.093116042E0,9.011260986E-2,7.020401001E-2,9.836494904E0,9.837158171E0
3.103085042E0,9.415420532E-2,7.694000244E-2,9.834249573E0,9.835001242E0
3.113053042E0,8.786727905E-2,7.783813477E-2,9.830657043E0,9.831357858E0
3.123022042E0,8.143066406E-2,7.170089722E-2,9.826914825E0,9.827513773E0
3.132990042E0,7.364685059E-2,7.469467163E-2,9.834998016E0,9.835557388E0
3.142958042E0,7.005432129E-2,7.559280396E-2,9.831255798E0,9.831795993E0
3.152927042E0,6.945556641E-2,8.681945801E-2,9.824519806E0,9.825148910E0
3.162897042E0,7.379653931E-2,8.307723999E-2,9.822723541E0,9.823352051E0
3.172865042E0,7.813751221E-2,8.382568359E-2,9.832602997E0,9.833270764E0
3.182835042E0,9.265731812E-2,8.457412720E-2,9.832453308E0,9.833253593E0
3.192804042E0,8.562194824E-2,8.397537231E-2,9.832602997E0,9.833334362E0
3.202774042E0,9.145980835E-2,6.870712280E-2,9.832752686E0,9.833418070E0
